quality_id,call_id,quality_score,comment
1,1,4.2,Unhelpful
2,2,4.0,Good service
3,3,2.7,
4,4,3.1,Resolved
5,5,3.4,Long wait
6,6,4.0,Good service
7,7,2.6,Long wait
8,8,4.4,
9,9,3.9,Good service
10,10,3.3,Good service
11,11,4.1,Unhelpful
12,12,3.0,Unhelpful
13,13,4.0,
14,14,2.7,Good service
15,15,2.8,Unhelpful
16,16,3.7,Good service
17,17,3.5,Unhelpful
18,18,4.3,Unhelpful
19,19,4.0,Agent helpful
20,20,5.0,
21,21,3.8,Resolved
22,22,1.7,
23,23,2.6,Good service
24,24,3.2,
25,25,5.0,
26,26,,Resolved
27,27,4.0,Long wait
28,28,4.8,Good service
29,29,4.7,Long wait
30,30,3.1,Agent helpful
31,31,2.7,Agent helpful
32,32,4.4,Agent helpful
33,33,2.4,Resolved
34,34,4.7,Agent helpful
35,35,3.9,Good service
36,36,4.4,Long wait
37,37,4.2,Long wait
38,38,,Agent helpful
39,39,4.2,
40,40,4.1,
41,41,4.2,
42,42,4.0,Long wait
43,43,3.0,Unhelpful
44,44,3.7,Unhelpful
45,45,5.0,Unhelpful
46,46,4.2,Resolved
47,47,4.8,Long wait
48,48,3.3,Agent helpful
49,49,3.3,Long wait
50,50,3.2,Good service
51,51,3.1,Resolved
52,52,2.9,Resolved
53,53,4.2,Agent helpful
54,54,3.8,Agent helpful
55,55,4.6,Resolved
56,56,3.8,Resolved
57,57,2.3,Resolved
58,58,4.3,Long wait
59,59,2.6,Unhelpful
60,60,4.2,Good service
61,61,,Long wait
62,62,3.5,
63,63,4.2,Long wait
64,64,3.0,Unhelpful
65,65,4.5,Unhelpful
66,66,4.0,Unhelpful
67,67,3.8,Resolved
68,68,2.8,Resolved
69,69,5.0,Unhelpful
70,70,3.4,Resolved
71,71,4.2,Agent helpful
72,72,3.3,Good service
73,73,5.0,
74,74,4.1,Long wait
75,75,3.6,Resolved
76,76,4.4,
77,77,4.5,Good service
78,78,4.3,
79,79,3.8,Long wait
80,80,4.3,Resolved
81,81,3.9,Good service
82,82,4.0,Long wait
83,83,3.5,Unhelpful
84,84,,Unhelpful
85,85,3.0,Long wait
86,86,4.4,Good service
87,87,4.4,Resolved
88,88,4.9,Long wait
89,89,4.0,Agent helpful
90,90,3.8,Unhelpful
91,91,3.0,Resolved
92,92,4.0,Agent helpful
93,93,4.3,
94,94,2.7,Unhelpful
95,95,,Long wait
96,96,4.7,
97,97,3.5,Agent helpful
